Key	Supplier	Order Code	Price1	Price10	Price50	Price100
POWER_JACKPTH_LOCK	Digikey	CP-202AH-ND	0.88	0.613		0.4113
LMZ22010	Digikey	LMZ12010TZ/NOPB-ND	25.20	25.20	21.42	19.845
9090-4R	Digikey	WM6988-ND	1.62	1.261	1.0688	0.9619
CP_SV-D:390uF 2.5V	Digikey	565-3167-1-ND		1.30	1.1728	1.04610
CP_SV-D:330uF 4V	Digikey	565-3179-1-ND		1.304	1.1768	1.0494
C_2220K:10uF	Digikey	445-1454-1-ND	2.25	1.845		1.485
6SLX150FGG484	Avnet	XC6SLX150-N3CSG484C	158.75			
ASDMB:ASDMB@100MHZ	Digikey	535-11147-1-ND	4.01	3.478	3.0496	2.4075
C-EUC3225:100u	Digikey	445-1437-1-ND	1.30	1.066		0.858
C-EUC2012:4u7	Digikey	445-5987-1-ND	1.01	0.846		0.621
C-EUC1005:470n	Digikey	490-3266-1-ND		0.096	0.0766	0.0575
LM3671MF-2.5	Digikey	LM3671MF-2.5CT-ND	2.83		2.1816	1.9796
R-EU_R0805:1k2	Digikey	311-1.20KCRCT-ND		0.021	0.0162	0.0123
R-EU_R0805:1k24	Digikey	311-1.24KCRCT-ND		0.021	0.0162	0.0123
R-EU_R1206:2k55	Digikey	311-2.55KFRCT-ND		0.03	0.0228	0.0174
R-EU_R1206:620R	Digikey	311-620FRCT-ND		0.03	0.0228	0.0174
C-EUC3216:10u	Digikey	445-1388-1-ND	0.40	0.30		0.14
C-EUC3216:4u7	Digikey	587-2718-1-ND	0.42	0.33	0.2176	0.1725
R-EU_R2012:0R	Digikey	311-0.0ARCT-ND		0.017	0.0126	0.0096
R-EU_R1005:4k7	Digikey	311-4.7KJRCT-ND		0.012	0.009	0.0069
R-EU_R1005:1k4	Digikey	P1.40KLCT-ND	0.06		0.0242	0.0184
R-EU_R1005:27R	Digikey	311-27JRCT-ND		0.012	0.009	0.0069
TPD2E001DRLR	Digikey	296-21883-1-ND	0.66		0.51	0.45
DIODE-MINIMELF:LL103A	Digikey	LLSD103ADICT-ND	0.61	0.484		0.363
